Block: 70
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
36882 1552428660048 998a384959159357edaa7b05474b3d1a2f9f76ac5246f7f3cf288ad7c4ccb72e 998a384959159357edaa7b05474b3d1a2f9f76ac5246f7f3cf288ad7c4ccb72e 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 030f1f79a861b6d00c91e9c4fd30f4935382a209b5572b028083d355cdf78455b4 025563731cf37c70f4c5bdc13efa9d8cc27c78ad843f47e58e70d168c6b2381f3f J/IDnt2sPCJeOaXAbtZOz7HyvKNIgAODIybgqjFwTcRbd57YMMd6KOca4pevl1KeZZOn8n7mACoi6/lyNjjgoQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 xUWSJk4fqmI7M+UcJridl4FBXfXjP8Fm5pJ29EPTpmSYTsG9pdnhqTwl4r8Z6wpxX36u8krvgAjdUMSgiQrRow== XcUSt89Z1SlrUCEPOfhc5r84Gi/BZss0etj44PskbH3B/YL3cBkB/O/sVdiT0P/+VevdbtQujj33YSKICwTJsg== 70 
36883 1552428660129 50fd5991cf94210830a54ad1ac6c019fb5ac5bf464f0ca210adf8ff6b26c0f28 50fd5991cf94210830a54ad1ac6c019fb5ac5bf464f0ca210adf8ff6b26c0f28 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 029321cfebffa3e0905abcff78bb8d0fd58d301722f7d5c1b80a5d01ac395b8486 0241a6b7e1101c5be0e2e04d098b3553c4ac48d95029da4ae963b903cdc1f010df YSLaw9rgK8uW6r+ykdbon2ds/tH4QmGM7QNNZp2o7n4w8K2fCkMtqdMF+o5rwBalv/AWic2hy1PMQS3Q+upTVQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 i6LmTVAxbX1WrMe4IHmRRB0rA+ftxsBmyMN4kCJsOKu6ylTbYayNVA6vLWmRQIfl1AgUFz7BZqRoYDQf0u1SqQ== 7ur9dx1I/lmNDuCr72nloA4iH6vA8Y7MNq1VQc6HyZ9X2qqAPE6aH1wPAKiCyl6QQk+tG3XmViKOQJufSU7G9A== 70 
36884 1552428660279 ef1b37472c7c8ebb14bbc5901eef1ca8aa810def068e9fdcaeb54b6a44574ae6 d720965c98cc98c9d112ffde6718c40b29355f611c25b0e4d9e28e48e89e0a45 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 0286ca390692b2e01f964e3203c66dba2ddbd0b82ddda4b8f53680f9ceebd50a53 0296780198dd15f0b91cc30bb46ac396cf2b779ff86c658fa6b6fa52d986cb070b Kz4ldjx5x7A91MYahykzVjOBWsxUrSI5jToVUv3idXzGtumkGyX+kQ4Ck1gJyfeQAYTRleelV12Tcw6PrWXiUw== HX9YSYf/upb50w+ZQ9G8tDZL55x0HzTXj4+Hf4Asbs3elS1+t7RArI03hG4sCg4K5qpWtvGHw7zT6eaNH0htiQ== BCL4Ls1mfnDFYV/pzZq94SA1Q428WWXUi6hwOWmMgi5VHzx8swwqdGsN5ttqXZuamZYxGAFbfwVHz5cpa1QJgg== Rid5Ee5cGiso4PO6vzv72Mn5LspZVW7cN1iwLoS6/RvwTAINhn7+3A+R/+09JX0cCcL2rGUaUUTiV9fypxiSUQ== 70 
36885 1552428660455 538ad0c1fc8487bc2beb97837bb331d02d0fddff35dc98d72e38956cfd3c33d9 538ad0c1fc8487bc2beb97837bb331d02d0fddff35dc98d72e38956cfd3c33d9 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 02111a9935e80aad422aefe3471837c9c6a0dde2783f89898ce416be513af582ff 025b0edbe3171390b45e5268504103e7a09b3edcc9dd61b48671fa3ade7c0a4cfa 6uBiKEmQ/pqhy6i/gxbavZ/ZSllw/uSwbuCPdn2MnMpdT9CJZkHe9irKh2XwB899sc8HKZEGob5mNaexEVluMA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 HGY/WXAckewbzzeSM2WdI2Sx3QP5nwJNtZQAQ7MLaCWiP9mfkDqIv4aHtKS6XBbpelm/mTNv3b6e61GcKLmVzQ== wH2lSUMZIZ4GgWhJACnTCa5h5NJOBb3mGgIIqoP+ukyBPEzwkAk+M+nxcrGHBrthMv+5E7GMuJF5OxRrxcVTVQ== 70 
36886 1552428660627 6f296b7b9ea18aa147d819ef820b1fb43ed7f20fdfb7bd3dd8a3d659ee65eb62 ac33b7e759d5b1d6d32203bc0e55d160c4ad7cbd9c94e075f64ee828cd152f2f 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 03e705cba9ae7fc9b2de4e032e8dd6b7580420f80e7ed34a310c68195433f85f0f 03273611772f2e4dddb3ad431da4676e5ab99aed1c04bbae389b1f58caadd3f085 HwCmUYcCs4fpocjjtPeUKCYMPrrOs8hrmXROoUoOaUk0n0VypfrcxB0mSbGOh5hhoa/d3Ba00X2gE0IGbOEJGw== PfA19z0azW89y3VD2HgF2nYW6VaHkLW5l6ZLjXi2tss14HSQFzlf5xH/aMDCelZA/QYiRI19Zrj4Q/174HKcZA== EZ5HE83nEUH2aSQa8NBcufqDM+0oo+gvyCsAZMcXYg8UH+q263/+dfb/HpZkUtspDO9O+Jt9FshyBQTBJThAeg== oCpLduJiaW101cY3K5yz+2utr3FenQ30lB3qW/SWOT0MOtCv0SR5sX8gFtr3RJa7URQvncx3A1QzkxXTpl+Hag== 70 
36887 1552428660919 0328d10208593cc01b2f291e00755582048d63d3559e154c067af353bedbf954 02c073a23d216e9180cec4f1760588b293eea32247d895e5caf08f6e8371689c 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 0366194f3851f2b469e9f2897b8a6bb7ee4790f2b836df549abdb39b0aa3c49d5a 03e2e15794415a1801262449fe2975e208851e7c3810db0aea68420debd3cf97a5 1+UGyQwuOmrRn7R6PZEK8+cDJMlebweWyHtKRFN9SfOZXhOGGhfjFK1PC7trep8cCI2fd+Ki4pki+NGpUSV1yQ== IHHIydWLgqe68AVPXXXOCjU7FDI0fpPJddco0xNLdp07B07sioDAtjbnQibni5wpnfcG7S0KSJogfbBi0UdNYA== 1ZxTIkspLZptVvmMbz1Slul+uMWfWCzrwUggSUzIzLaiICmr0NQmPVXYQSNYHeebs3CPoxIH1u+U+L6WOxfsmw== ruD2+l1IcdO4RNUCcGUhl8px0dJI6qg/yksuIHdXZ2FW1I6nBEv+kP1ZrmAxnonBoaLC6F/GlInsRWxG4RCa9w== 70 
36888 1552428661171 2e34f0fd6f6f1c1ff50a8b1f9f6858a1ab965eaff93ca4fdeafa18a1eb4df0c4 ca37931866a974d69971b26488f40893603c11a990beddc85d09e8290ae94291 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 0337f7f82b9c7453db196b5b158a41b33b88241bd920532ffb82417ccd6a1db42c 03c7996a310a757891857c5dca006f9c49337b4088150bf7eadf41fc947ab0b38c 3JaG2pi10Pg8H0g7F4bFMhK+0cP8NTp/egv1NcxduKv4NPjmPfY1gpxkKVKk8ZAeCmgmWO0s9SgmbXM1mqmndw== vVIditL8Pl1wc9pH6DhHgbQ5hyYoH5rL2RbB5aMbET/j+BAiqUwvACC9BCsyUgztodvuJOKBXNWwCXSQfHxkjw== g2/oEECpJGPiwfWw/xt4/1hx2+EVoDEHqBddxlvNo/Wcc43Vfyg0QiFdwrZkSr9XaCua0L6Cj/01ULeJCCBzyA== gV46ld0yESq9j10EnKDvWNkaHQtopSUbk9fVlpOGLJnEhxXfQDHYP7VxShyLDgrMsMouTZdxipDw6t8zYuh7mQ== 70 
36889 1552428661332 d73f65d58e03455427b7ac1c593eeb571f1733b4b07f343905a11628a8e12a7c d73f65d58e03455427b7ac1c593eeb571f1733b4b07f343905a11628a8e12a7c 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 0376a959d7dde497b53106ba42a26867c554f78e4e5db46788acb1c3ebe6f171c6 0333b71627575b2c1da89f8a5a7436566d9cd07921f5d2d2eb6679c12e3339e3c5 iSqZWhbycXNOxe5+Dh+qsd+o5itNQTTFUJS2QPAL/o16cHMBCsdgEuSEr9hRekcAshcnv6kIYwHj0JUWB9a5QQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 OTP0ZYxp+KsG8EWbUlHIepdADBVNE6h4GohUWBehiDaO4MpwMXXbgVEZZ1tmV/UH/xS3vHXHSLRtZ4PvYtEthA== 3xhMZJMFCTjMAePo/wDkbpiTlsO2irz3mqfnN+UbS4oILEEmiMIlH6Oz7+08XLnol83JAGV4gGXCGwIjrrOpuA== 70 
36890 1552428661452 7207687909a7445f838f0b59b64a83fc43b65e470f4123bfe21acb4ac9746ea2 7207687909a7445f838f0b59b64a83fc43b65e470f4123bfe21acb4ac9746ea2 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f CRE 1 03159a400289721c3727ca00b1e47898add0234c3345e53f97ac7ff58532f8ce2f 03d4bc60e058750b055ea2a539e50528c88a89797bde4103ea2f9f3f5a8fc29b6d B+uRDsxLH561L0c8/GPDI3o4dZ5BGoMeODzVxcBza31htcA1x5xu7hjFfrD6dFILJLzx4j6N0Oa3tccsHZuonA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 xj5Gm0aLI3vXTmmwdiPpRmoQRx9trxmLgfr6q9CDIeOZX54O/kZbAR8/rdFQ7LCbGEu4h7DFdcifhYy+JH8S2Q== fofJ1AkO3B+SNxqRpFeG0CRv6RnszE6kn21PjV+enLUxQjpLJkorK6GS+D5Mw15uMq9u21Y+S6NuQi3H2Gmq1Q== 70 
36891 1552428661619 538ad0c1fc8487bc2beb97837bb331d02d0fddff35dc98d72e38956cfd3c33d9 46d75ed42dd2ad7ddea76bd2ac28dd21319af9cb9cfb8d9bc495ce512755e589 38681491a740cdb519c350815e0eec915a588a2a4ecc0acbd844bd7d0a06e38f AME 2 02111a9935e80aad422aefe3471837c9c6a0dde2783f89898ce416be513af582ff 03c8e73ef88e9e205c0ee7b8bcbf1b7dbad8308b26194f8d543fe7dad7e7512175 sNgD4NftWejzYc8dDEQF0zQWxH0vfD/mGo3QVjOh1RgDmuqwIjlnTcs2zH4iVG68L9Edz2YL5u0xct/P4qYKJQ== eM/Tt8ThNegSztIvScNrh6DdvPXUSTXnwSltd59irTh4kmP1tORDpP8v4IaMQT9+7DDlmKJVTOmcpidWmQvKSQ== RoCVu9/DQ6wPRRn3lbeBCBLNttYZAXL2GjyzHtR29VXIIgLpPIbHFTi4CiGOwgZlOYcsji8nXDnFaxiWL4aWCQ== z/Ce6+zzXLTAINqAiPkXkMcS2RIaKhXLli1cL4VNi+9ZbAtPfdelje/jvbieoOFRqvmBbzaqaJ/DMND1Qhcbog== 70 
