Block: 5
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
67 1551856982744 386f25bb4b03ba6db2a77bad47b5860ed7a07500731756f778a35d4401076f15 386f25bb4b03ba6db2a77bad47b5860ed7a07500731756f778a35d4401076f15 f93c083b5dbbeeda72a408890af7c7d743034e95a91b893043a8f16bb54864a4 CRE 1 02b97382ab0d2210ddc9e656d1a6bfaa99cf78fa1ae12a78893111b4c66aa70b28 0328a8be0db70bce353b24f735c0fe0c57bd8775fc3ee703eb5b38fd9f83bca673 p624ZnzWQAf/8+ZtilQkaPfKAK9uOa8cP9FeuS2obUr4bE8HpUukv8HGSHboJSf2nzHyhT+P1+VNWxzTkliXxA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Rc0SnEZM+gy+DIgiRSsh7bi0IWp901NxZf8cxtDg7xQD604JBBEiifhQhi69LvFWLEXssL7yLyUwhuO9rt5Ntw== +T0bFiiR9a94gLGEC4+gqSDUsopxI3fneLl/SNsyWe9t8QFlV9aZ75Sh3lDZVeyL3zxX9JXvQb/TnHGfvzWAbw== 5 
68 1551856984234 386f25bb4b03ba6db2a77bad47b5860ed7a07500731756f778a35d4401076f15 ecd3b58341db7b1be941eb6bf12308fb2b7850b70b0e634fabe116885f5ffcfb 81af8e1e6f2158ecc82c2654bd5ad4e72921991508383bea7a87ecc972b9bbce AME 2 02b97382ab0d2210ddc9e656d1a6bfaa99cf78fa1ae12a78893111b4c66aa70b28 025a148b91494006b03ecb6c9b0b8015cd1bcfcdfdaa70d04a90050fde33a13771 02FvzDwPWUMcTIlVPA11iM4Q2ttiyT0eVAxHy148rTsOcOhGQH7dwTDCJXiaO9nv4k80H7KZfIxfZmYOQ2/hqQ== IhZ7iKpDr3xGd4oZz6HWpVfcz3xSvMiymLx0WKM0AfK/iEiN5j9R+JELUebHi7vvmHLzFs1KuXnpvBqylQo6KA== XYuYRSqq9j3vHXjBuKFCo1dHQvZxRsazIC3KUZmNrnUpPrN/Iz1rqc4kjwPk8WhyItVgc3fh7QMXMhDRjMvwDA== EMsMo3/dzssaBPmGjvjvi+bqZlli6ierZo61SCRdvV69vTD0XpLwWwnEtIc23nebrHN3vshKirmdiXCY4wQ1NQ== 5 
69 1551856986276 386f25bb4b03ba6db2a77bad47b5860ed7a07500731756f778a35d4401076f15 83bcd05fa5486a9a9dd7bfed39d0c07a27bb5e5d38793ecade6f1d54aaac5536 c7980ee76b9df620e73f412301cc147b1c94362e3ac3e1793213f88a29f07d68 TRA 3 02df04907c92571851097f245aaca109185b8e5782f31f71090e7f0461b537148f 0274d24fd9249e4e156cb0a736d28af7885acc53f5a7d85a48adb1f9104227bac9 +YKtxDhRCNzUkM3UAKRC5LH1QQ2s/h4e7YAUQdHmoAng63pFppUP3mnA1HSt7ACXcNrRXxcIFaq1V11J6BHT2g== RQAx6IDfW5MAkgvSESf7jxX7D5tXPMKk78vuPmjXAJffL2aWwSVUnGPz2lTTA3w/xXq2TMrallt+QunRLXR0ng== 19ekA2Y/Ty9E8kA7zPZFap0EjPktAt7DMXhJVFg8dL6SFFum6aB0rn7zOXI77Q/kYvSkw/1aTdDqHvLn5r7iqw== iUMk3IjrGKuA5hBmDoPkuGWoFCRP81GlmrVFXblf29wFN1kSSaaMRt1/9EymWp8M/gSt7Jj2dS+wuy/C2jgc7A== 5 
70 1551856986970 5b1513617f5a763370bf489acd168667b6ba36710151b203585c56c034c79fc5 5b1513617f5a763370bf489acd168667b6ba36710151b203585c56c034c79fc5 f93c083b5dbbeeda72a408890af7c7d743034e95a91b893043a8f16bb54864a4 CRE 1 0242cf26d0ac9eff4e655fff0248d241a6cbea28f4cc71fb46f215f2b7074c285b 03454691204287652f3fbe51d5d0ee73fad2627df45e0a801ef705976519d7280d Ea8n1v2Q4PuKykCmSX69l4BwlypS34jEQD02IhWZLohuLSt2j0DDYUJHnjIZaMvHnb4GYau06K/d66Qr+Ty1kQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 4TnqdtXujxANFQMgEB1fi4aiO/Nf+SF1+PClZTvMq1Kswz9Xax7PKM4IjBtIM9HtEckXDKFqrHa8IAY8dUz1xQ== cAI/HU5rWiqZ/BszOcczRcQq1LKmKWABDNFvZjxRRspTEGcGg6z8rhlmXOk/daoC3Kda8w1SZwl/dpXTrMwyjw== 5 
71 1551856988213 5b1513617f5a763370bf489acd168667b6ba36710151b203585c56c034c79fc5 6ed0ef3fb2e4038d01f7c308bf5d16a04d46d3e2f61b36eb0cb8b70ed82ab75d 81af8e1e6f2158ecc82c2654bd5ad4e72921991508383bea7a87ecc972b9bbce AME 2 0242cf26d0ac9eff4e655fff0248d241a6cbea28f4cc71fb46f215f2b7074c285b 0345a8475e27a3c94e04ccdddd7260ac514f07a7c11567e521e3ec274407467375 s0lHYwdAoZUOxAQupjSHq5Z8BI8OtOFRAMRKE1QPlTuuKJ1CHuNp+mWQOYhQyp+8bm3A6iCPgEFlgqYHUlwGDQ== AGWJ7Vq6c+ydkURPUTszkn/U4nRLTkomxvXYfK/aCtbXpI2/nBVis9fLgijde0IdRYEw+5MlEowfqqvUYOBV+A== 9QrWRo7PBblf9H9an9pMReGNeelPwvjh+JZWmXdChlO3oB/lRfQolww/b2FRf8OoRxgMxRBe3Lo7Sh+QOlRfGg== H/edyk+mPMFxOBy2dTEa/UIf2A1wN8Z1sPOUb/Do7ySa0iRBaciEaTBRDk8HWO1pEAI5iE+qRl5rt9iagMu+Xg== 5 
72 1551856990474 b23001d589fcc4e73c41889a0b2785ffc2a41c557321ea8b213da839ff28d5b5 b23001d589fcc4e73c41889a0b2785ffc2a41c557321ea8b213da839ff28d5b5 4a4ecee44211bba1e3705cd85a336f94acccece8e34e34921f7b0c46cf8c2532 CRE 1 025684eda2059b3971a05ce47803033a6b3846b5bc6bf049ae0d03d4c9b9c4fef1 03c3582bca384bd8d5add7b68bfb6abecb3d59e7fe60b85a498ffd40aedf5b3806 4jM35dYfqg9WX9rlAPVfEBw2pt6GXr3uuNlR+4P9zZxIpSqWZvpRIL4aSdyVYdltCEVeY2K1juRfHmKbXslxGw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ZI5Mkz8yNUpETPwIHenx7kbe0dniNtUNyCCmMfUSXCrjWRlJXrqZ4AP3vxi8Szf+CRgLuG2wSzCG3WhK5zEKlA== E3BaW+8qoeNM8oDjDPBTStUyVKn0pJEDEbc8vaq6HN0FVrVGo4YpV32pVQJmEFCad9E/ol/iEVE/ppclVUAYlg== 5 
73 1551856991499 b23001d589fcc4e73c41889a0b2785ffc2a41c557321ea8b213da839ff28d5b5 50db1146c73656c0ab19b5731bbc4be21060647b8bfa0eab5af03c11e8cae6c2 c90471c2231ca02c87ece2f28ebd7ef5dcdaa40ea94d004eda1693f89bc26687 AME 2 025684eda2059b3971a05ce47803033a6b3846b5bc6bf049ae0d03d4c9b9c4fef1 03a8ec814b3f37db12ab8235140fd988bd6de63fec156cfa4fdaa8839d9683539b Xdn0/3Oy2VwqeV5+yALWL0X6oXySAqw8uA4Vd6LEiRGfHzev9usm95lXcT0B1lpaQcWYTe42axV0OjyB39KbzA== B89Kn0/q05cQpteap2wnuw3PVSrEXk3fY85E25hok50/S4ijBrYFNC+NcR7K3lta5r+C01Lf2k8A/fSfZ+X8JA== BddaiBzJeYVM0QkRV25JazPovSsiuN6PpeRYu622lCyXbNtL2eHmqtG91I9IlHj31JuAngFmqTjXVHmJqXuJYQ== WojJ0DYLro9x+PlUCv6OEXI6Quh84BQ4W+LUSsSaymGtr5FUtCQsZMSk12+W7gPAi9nLwGQOYc2K9zHm3HuTEQ== 5 
74 1551856992647 b23001d589fcc4e73c41889a0b2785ffc2a41c557321ea8b213da839ff28d5b5 629576b644a9dbb3efa95f21817eb6e08a0466d52961d6d4febf444c667df7b6 1b3a15ee14a35b2aab7110b7991389faccfd42d6f85369c0577d51244fc49d20 TRA 3 02df04907c92571851097f245aaca109185b8e5782f31f71090e7f0461b537148f 031709c6ab27d11da75fc4fa80170257e0775809efba964ac812a454b0e7c77b66 v+L4x8+Wb2lu+Mucl/6GC5OzPdtWYzxM1xxjiLMhBpBFBsGD2t1mEfZ8U2CFq4JT+j4UwL2JptoaeZO/vPfMAw== rBifz4cPkiYqralpAdAPeq3dpyjj2+cvrCJan4DdMUmRdgSp1K51tlFPh8TQDZGGZ0CXWEVS28KGh5jOdFpk/Q== XDS7YtYlnrInXbPn9o6itvxAlfv8Gryh5s7OOq6HTB94SOcKdshQPgnDPbSFQo4VhGYFumFgH1yKAiUTyKcLvQ== EOYQQiE9FnguCU/Vb1mK9iCmHAXzad2AT2+3+tPqrerg3ELTOb4OCkn1di++xqJOpxzLHD5NsrC2Aoho4PMD+w== 5 
75 1551856994079 ad8cac022cf1f87d46633ccfa6024354270eefcc76ef9c85c2e13e880d00ad98 ad8cac022cf1f87d46633ccfa6024354270eefcc76ef9c85c2e13e880d00ad98 4a4ecee44211bba1e3705cd85a336f94acccece8e34e34921f7b0c46cf8c2532 CRE 1 0337e0dee0f5d8e87d6cbbab3bd7b51e835a78ff22bc4f1d2f48484e3717f4927d 03fda27b33b8fd315537daada1348acc0959c9416960140139672fa27f1532b6cc lQQ1vDWuDXSJ3R5lYpQLw3jIUwJ3jj3GIcvLR/rl6B/fjd1nb7YHJt/ZmAehIYllBlv/3HWamG4fLsVY4hTfgA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 AIPhWsFT7au8akjZwv35znsD/jnkZLYUcpk1TdKlo3S70grY7USyuHxkifLBcoy5juafpBWntiTCGN1N/Ys8zw== FPETKtAX1adeJduo2t2BTP2P6y42M3juF01dL8uHuexo0KqsKKNAxeKiEIovdmemPlBITed1enPhMiCkPRBh4A== 5 
76 1551856996239 ad8cac022cf1f87d46633ccfa6024354270eefcc76ef9c85c2e13e880d00ad98 38f8b1bbb34815a59fddfa873b92502ed040984776128464cad85d4172712abd c90471c2231ca02c87ece2f28ebd7ef5dcdaa40ea94d004eda1693f89bc26687 AME 2 0337e0dee0f5d8e87d6cbbab3bd7b51e835a78ff22bc4f1d2f48484e3717f4927d 027e421849798421f6c4087a7ea71b687bde6f519e34100e801112149520b0ee00 SAvksGY26UgAmeLybXHMsEK+rMJ5bSHo7AqWDf9VSNRclCW99lTzvJjEz/YMnoQa5qWWgoWn5MXwh6NyrwvYtA== pnDhCg8KQZeicizeUXn/Z/Qys1goJBGUQh2CKIT6ha2QYiFRRrS2tbWVj7V6v9GjIxLmP0XD93ipL9MBT1l0Jw== ueWC+l/SFqsJshvsMGgFnGUQzyEWMnyemzQnPA06citUotOWV6dr+y1SKrZhrs/y8A6zuL8uKmey9IDeyz+R4Q== /0nvl9p/meilCjw9E81aEzQSger3QV9N2Mq76tmSO4h2RidS9y2ZKRcR73zh489xx40sPKLWNyy2dGnefoorDw== 5 
77 1551856998193 717e10851ae9e506c2ea37506a068b7dc27c8bc01336c5453db08f28662bc760 717e10851ae9e506c2ea37506a068b7dc27c8bc01336c5453db08f28662bc760 4c9df129192539d1644517153308f5584010a21bb533179640e8c3a4bca4388a CRE 1 036b37666a1958fe2703ab3f33645eb6a5dda5058b1304a3a713a55429fe49bb25 02dc56e8eaa312f47b43823f38bbd2ff72b1fe108b9a34833d453da4f6f78a84a2 J3XgDuTn/xhfiSqYNH7f077NVHK2S2tfYkV0rXZ745LZ/kGe3yBgKHF4XbMhrLFlLvZ/7ucVgTMqgVIs8q8Bng== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Xg4UmX9ILSMdGbObZy3mqG/65XYZYgiT3zWHmoxjjKNhI3IVNBDERQ/G1daCZTg3QZa2uiCthtlKvlcEPebfXQ== 9a3o8NX7Ijfv7IhIx2PxWgMwTcUFAcC/KoTG1d+Y9VZ5gPvsH1Ez8VeenAlvA0sRmyAEUl+JErn0FVZ5Xk0RQg== 5 
78 1551856999692 717e10851ae9e506c2ea37506a068b7dc27c8bc01336c5453db08f28662bc760 3056f8b90f07c914764ffae49032dfe9c99fab0f7ffe1be259313f0a90a2e029 fccb08506571c7146f68129ff4c18bf25971be6209d6a37ff8291f5a50d5fcac AME 2 036b37666a1958fe2703ab3f33645eb6a5dda5058b1304a3a713a55429fe49bb25 02e7369e55a6754407a42db9e61b3edbdac231648709110cf6414dab1a180d36f3 LammUWczg7sImPCrq2L65NUg6vQ4EZDUKTZ729iEpmbC0Wy4tfUR8bGgPODlQtgj8XB0nXNOf1X/UNzdjATFmQ== lx2sE7AKecyp4OBhQ//mrjjDAn3e5p8aB6rhWPLPdlbSenFT6RifkQ0qC65OP5ANJPYJP3KQl/twMM0U906Rag== NcXK9O286ZI9hMKi9AmiFobWbIeiKlSh2aPLRmfmgMeI3Jn5+f1iKvn69DKHwD6UDRFP5v3DqcDrIL+j+aaXSA== ot/SCMeqnH37+SPrK7kvpjtJhVq5G0NQruTJjQ949H4thn1G7Wv37dBc6UEWh3FBU2toSZnaWRZAOQ6kQ0xXCg== 5 
